block,label,year,Thinning,distance,elevation,slope,orientation,total_richness,core_richness,transient_richness,transient_prop,TNH,TCH,TNL,TCL,CNH,CNL
1210,CONTROL2,2018,Control,211.18,1373.477016,7.734372697,EW,3,3,0,0,0.180354059,5.777878761,0.135339618,3.141848326,32.03631125,23.21455002
1210,CONTROL2,2018,Control,211.18,1373.477016,7.734372697,EW,6,6,0,0,0.196757197,4.407223225,0.152529255,3.325692415,22.39929864,21.80363646
1210,CONTROL2,2018,Control,211.18,1373.477016,7.734372697,EW,6,6,0,0,0.189691052,4.703258038,0.175939783,3.241429806,24.79430628,18.42351822
1210,CONTROL2,2018,Control,211.18,1373.477016,7.734372697,EW,6,6,0,0,0.300006717,8.168384552,0.229668453,5.569704056,27.22733885,24.25106267
1210,CONTROL2,2018,Control,211.18,1373.477016,7.734372697,EW,2,2,0,0,0.874895453,25.39061928,0.383145332,10.55283451,29.02131812,27.54264145
1210,T2I,2018,10 m,139.16,1373.11445,5.160108295,EW,5,4,1,0.2,0.258535713,6.112292767,0.084291607,1.509191394,23.64196689,17.90440881
1210,T2I,2018,10 m,139.16,1373.11445,5.160108295,EW,7,5,2,0.285714286,0.378053278,7.753625393,0.191835135,3.969555616,20.50934577,20.69253691
1210,T2I,2018,10 m,139.16,1373.11445,5.160108295,EW,5,5,0,0,0.19371295,6.126656532,0.148899168,4.852778435,31.6275011,32.591038
1210,T2I,2018,10 m,139.16,1373.11445,5.160108295,EW,7,7,0,0,0.206862867,5.142746449,0.070070036,1.719988227,24.8606554,24.54670114
1210,T2I,2018,10 m,139.16,1373.11445,5.160108295,EW,7,7,0,0,0.079692833,2.096260309,0.084500469,1.317944765,26.3042513,15.59689285
1210,T2J,2018,10 m,112.81,1373.717665,5.551423128,EW,6,6,0,0,0.506241679,14.78802395,0.183217257,5.921571732,29.21139163,32.31994529
1210,T2J,2018,10 m,112.81,1373.717665,5.551423128,EW,6,5,1,0.166666667,0.176623523,5.327211857,0.111341923,2.849082708,30.16139504,25.58858891
1210,T2J,2018,10 m,112.81,1373.717665,5.551423128,EW,8,8,0,0,0.094633512,3.2998631,0.115334116,2.748912096,34.86992106,23.83433622
1210,T2J,2018,10 m,112.81,1373.717665,5.551423128,EW,8,7,1,0.125,0.122855477,2.701737404,0.10815046,1.638866663,21.99118402,15.15358017
